"yr","eisst","pisst","frdmn","peak","pdo","Pink","Chum","Sockeye","Salmon_Total","GOA.SST.Sum","GOA.SST.Win","GOA.SST.Ann"
1948,10.9666666666667,8.0875,4.66506738366667,12.5,-1.56,101,70,41,212,10.09725664,6.523440078,7.872240062
1949,12,8.53,4.57082258066667,8.04,-1.544,252,76,33,361,11.67500018,5.383774191,8.558037943
1950,11.0833333333333,8.25,4.719736559,8.33,-1.012,198,53,44,295,11.06928093,5.995472293,8.447738236
1951,11.89,8.775,3.96558458766667,7.22,-0.496,337,52,38,426,11.28069204,5.734713653,8.271285807
1952,11.2966666666667,8.4575,4.16450967733333,9.06,-0.682,180,72,42,294,11.00819602,5.742535984,8.514871691
1953,10.73,8.255,4.25088924733333,11.3,-0.472,294,77,36,408,10.19065675,5.985071355,7.981834193
1954,11.73,8.14,5.078876344,9.68,-2.722,261,84,53,397,10.61950104,5.759611465,7.994248687
1955,12.5966666666667,8.595,5.50005555566667,10.4,-1.172,362,65,50,477,11.90084529,6.260087098,9.292229147
1956,13.8333333333333,9.7275,5.42644086033333,9.77,0.05,187,71,50,308,11.6252242,6.775696363,8.771643491
1957,12.2133333333333,9.1025,4.61465913966667,8.47,-0.002,240,65,45,350,10.88834535,6.130397621,8.531592391
1958,11.66,8.9725,4.632623656,9.34,0.356,125,67,71,263,10.57685167,6.11308631,8.136642538
1959,12.42,9.415,5.05032616466667,9.51,0.328,182,56,57,295,11.27214642,5.752736466,8.500451479
1960,11.85,8.805,4.49830035833333,8.21,-1.68,163,60,43,265,11.43634453,6.45201319,8.701554087
1961,12.71,9.39,4.405781362,7.7,-0.472,224,57,37,318,11.77935554,6.446486457,8.889846136
1962,11.6366666666667,8.87,5.23398853166667,11.6,-0.846,146,62,37,246,10.75738623,6.084902338,8.262386445
1963,11.71,8.795,4.90479390666667,8.58,-0.936,205,54,85,345,10.56226835,5.869752965,8.447285224
1964,11.5666666666667,8.725,4.92353046633333,7.9,-0.534,161,66,49,276,10.79407257,6.179245899,8.195952689
1965,12.44,9.0325,5.57627885333333,10.8,-0.61,175,53,44,273,11.91324308,6.032807223,8.60459947
1966,11.8333333333333,9.115,4.96027598533333,8.83,-0.422,172,53,45,270,11.39263776,6.036859878,8.327297015
1967,12.25,8.7875,4.667566308,7.82,-0.884,221,38,47,306,10.63160012,5.344387407,7.965038764
1968,12.4733333333333,8.7025,3.866121864,8.67,0.78,132,62,74,268,9.887382433,6.090574513,8.215545861
1969,10.96,8.36,5.089660932,8.5,-1.418,203,57,65,325,10.08577467,6.130668845,7.675894745
1970,11.4533333333333,8.2675,6.43238351133333,12.9,-1.806,126,67,31,225,10.8297133,5.785000623,8.245257908
1971,11.5533333333333,8.4825,4.21454551966667,7.96,-0.266,159,64,35,258,9.81456793,6.153432212,7.760993008
1972,11.14,8.4775,5.54778136166667,10.8,-1.268,134,63,41,238,10.52216222,5.828467597,8.275095761
1973,10.86,8.2025,3.95593118266667,7.65,-0.35,228,65,46,339,9.756678808,5.959304857,7.718601106
1974,10.9666666666667,8.2675,5.53990681033333,9.4,-1.528,199,68,38,305,10.02649009,5.62843615,7.629603467
1975,11.8666666666667,8.665,4.24274193533333,6.77,1.19,279,60,42,381,10.72880134,6.15708394,8.252265566
1976,12.0566666666667,9.5175,3.87939426533333,6.97,0.344,234,62,54,350,10.43911586,5.603876393,8.158055679
1977,11.8633333333333,8.665,4.18743799266667,8.39,-0.422,320,64,73,457,11.61665507,6.58302734,8.85364626
1978,12.0666666666667,9.1975,3.92921218666667,6.07,0.472,244,71,93,408,11.05815274,6.133451858,8.438127393
1979,11.49,9.27,4.36366308233333,8.37,0.662,298,80,76,453,11.33598683,6.142382678,8.663671792
1980,12.2333333333333,9.0725,5.01685448033333,9.78,0.44,223,78,72,373,10.2612621,6.220208949,8.196956032
1981,12.97,9.925,4.04853405033333,7.28,0.764,431,80,86,597,11.1631095,6.259120112,8.767182997
1982,11.8233333333333,9.6325,3.75673118266667,8.27,1.438,309,92,79,480,11.23396247,6.724006109,8.774650573
1983,11.7933333333333,9.1975,4.919077061,9.77,0.862,326,107,91,524,10.5687031,6.610967579,8.7410352
1984,11.66,9.045,4.75010035833333,10.6,0.908,262,108,73,443,10.49462689,7.062512375,9.024938497
1985,12.5633333333333,9.7825,4.416168459,7.18,1.854,270,93,74,438,10.15062928,6.959422777,8.35011249
1986,12.4066666666667,9.6625,4.60014695366667,7.65,1.266,212,112,61,385,10.00069605,6.043050915,7.933490041
1987,13.49,9.3625,4.21841648733333,7.11,-0.65,364,99,94,558,11.33652143,5.649957378,8.714128735
1988,13.0333333333333,9.7425,5.60202150533333,10.1,-0.456,303,114,106,523,10.89641533,6.48022072,8.551648423
1989,12.5433333333333,9.4525,5.13468458766667,8.01,-1.574,486,105,98,689,10.83965036,6.562960527,8.782275362
1990,13.9166666666667,10.2075,4.55916487433333,6.67,0.308,277,92,103,472,11.33069595,6.473043059,8.710415111
1991,13.2333333333333,10.065,4.16324551966667,8.5,0.492,399,123,129,650,11.65245297,6.227952658,9.164267275
1992,13.3533333333333,9.7875,5.17315770633333,7,0.982,454,137,107,699,11.67012991,7.317205805,8.92915432
1993,13.68,9.8625,4.076344086,6.84,-0.606,435,146,109,691,10.65673373,6.17298411,8.456777159
1994,12.51,10.1175,4.632767025,8.1,0.446,424,162,91,677,11.17797585,6.520987245,8.715676529
1995,12.81,10.1425,6.52767383533333,11.3,0.244,402,133,75,610,12.28849855,6.436588662,9.229428444
1996,13.2466666666667,10.0925,4.16917921166667,6.71,1.238,444,134,58,636,11.04668653,6.203436149,8.401606169
1997,12.12,8.71,5.50401792133333,11,-0.454,501,115,83,699,10.32588869,5.977445579,7.817658685
1998,12.24,9.055,4.329121147,8,-1.244,382,114,72,568,11.22155684,5.310201088,8.415497672
1999,12.3333333333333,9.0025,3.524369534,7.14,0.266,402,134,66,601,10.59915119,6.195205007,7.990367
2000,12.5333333333333,9.0775,5.533290681,10.6,-0.598,383,121,71,574,11.41057803,5.509391336,8.852420784
2001,11.2633333333333,9.6,4.06801075266667,7.3,1.792,466,136,74,675,11.14079424,6.748074504,8.703332767
2002,14.5766666666667,9.595,4.069218638,6.65,0.474,361,143,90,594,11.7742258,6.124945585,8.913963645
2003,13.3666666666667,9.9275,4.64627598533333,7.46,0.362,594,131,87,813,12.13928078,7.010818222,9.325624412
2004,13.07,9.4575,4.09491146933333,7.19,0.088,344,144,89,577,10.38663946,6.488616966,8.32032277
2005,12.95,9.035,5.51481003566667,10.8,-0.078,549,131,85,764,10.35040912,5.869768698,8.054969011
2006,12.1166666666667,8.39,4.761902509,10.2,-0.828,328,118,75,521,10.09230372,5.654556428,7.733268921
2007,13.13,8.135,4.411346595,7.49,-1.332,657,145,75,878,11.19401353,5.886989599,8.200833753
2008,12.0966666666667,9.2675,3.53994623666667,5.95,0.354,407,132,105,644,10.62724478,6.086274188,8.249976866
2009,12.2933333333333,8.7425,5.334969176,9.947,-0.894,654,124,83,860,10.84934381,5.840908632,8.095094793
2010,11.6733333333333,8.64,5.94181039433333,11.725,-1.48,436,136,79,650,10.03380534,5.847410214,7.846198371
2011,12.7266666666667,9.2675,5.73027151166667,10.077,-0.452,578,147,74,798,12.08237044,5.745401553,9.038339609
2012,12.7666666666667,9.6425,5.31757096766667,9.97,0.226,356,144,106,606,12.52713061,7.865126332,9.899606301
2013,14.57,10.745,5.05465376333333,7.95,2.196,549,157,109,816,12.39998832,7.317394472,9.704933551
2014,14.08,10.94,4.62579928333333,6.03,1.51,432,150,104,686,12.29373443,6.831855959,9.446305416
2015,12.17,10.5275,5.1787956,9.710555556,1.052,513,123,101,737,11.3178186,6.200830002,8.643846718
2016,12.9133333333333,10.205,5.69066966633333,10.86215278,0.334,701,140,109,950,11.60917474,6.568554067,9.414414692
2017,12.9233333333333,10.87,4.23066666666667,7.178,0.392,639,111,104,854,12.84018485,7.334933777,10.03848403
2018,12.88,10.735,5.868,10.614,-0.122,315,92,87,494,12.27681224,7.455991157,9.606756467
